latitude,longitude,depth,year,month,day,mag,timeStr,event_id,fmt_lat,fmt_lon,fmt_depth,fmt_mag
28.149,104.87,3.246,2017,03,14,0.4996,2017-03-14,28,28.149,104.87,3.2km,M0.5
28.15,104.871,3.243,2017,03,14,0.7066,2017-03-14,29,28.15,104.871,3.2km,M0.7
28.15,104.869,3.38,2017,03,14,0.3346,2017-03-14,30,28.15,104.869,3.4km,M0.3
28.155,104.868,3.578,2017,03,15,1.192,2017-03-15,31,28.155,104.868,3.6km,M1.2
28.152,104.865,3.511,2017,03,15,0.9869,2017-03-15,32,28.152,104.865,3.5km,M1.0
28.152,104.865,3.217,2017,03,15,1.1775,2017-03-15,33,28.152,104.865,3.2km,M1.2
28.153,104.866,3.276,2017,03,15,0.991,2017-03-15,34,28.153,104.866,3.3km,M1.0
28.153,104.864,3.529,2017,03,15,0.7329,2017-03-15,35,28.153,104.864,3.5km,M0.7
28.149,104.866,3.191,2017,03,16,0.7651,2017-03-16,36,28.149,104.866,3.2km,M0.8
28.148,104.866,3.101,2017,03,16,0.6977,2017-03-16,37,28.148,104.866,3.1km,M0.7
28.15,104.866,3.452,2017,03,16,0.4745,2017-03-16,38,28.15,104.866,3.5km,M0.5
28.152,104.864,3.451,2017,03,19,0.6105,2017-03-19,39,28.152,104.864,3.5km,M0.6
28.152,104.867,3.363,2017,03,19,0.5547,2017-03-19,40,28.152,104.867,3.4km,M0.6
28.153,104.866,3.313,2017,03,19,0.6022,2017-03-19,41,28.153,104.866,3.3km,M0.6
28.152,104.865,3.36,2017,03,19,0.7232,2017-03-19,42,28.152,104.865,3.4km,M0.7
28.153,104.866,3.373,2017,03,19,0.5981,2017-03-19,43,28.153,104.866,3.4km,M0.6
28.152,104.864,3.367,2017,03,19,0.6174,2017-03-19,44,28.152,104.864,3.4km,M0.6
28.151,104.864,3.432,2017,03,19,0.8439,2017-03-19,45,28.151,104.864,3.4km,M0.8
28.153,104.866,3.336,2017,03,19,0.7306,2017-03-19,46,28.153,104.866,3.3km,M0.7
28.152,104.864,3.366,2017,03,19,0.7361,2017-03-19,47,28.152,104.864,3.4km,M0.7
28.153,104.866,3.342,2017,03,19,0.7004,2017-03-19,48,28.153,104.866,3.3km,M0.7
28.152,104.865,3.36,2017,03,19,0.4744,2017-03-19,49,28.152,104.865,3.4km,M0.5
28.152,104.865,3.362,2017,03,19,0.6374,2017-03-19,50,28.152,104.865,3.4km,M0.6
28.152,104.865,3.416,2017,03,19,0.9057,2017-03-19,51,28.152,104.865,3.4km,M0.9
28.152,104.864,3.307,2017,03,19,0.5563,2017-03-19,52,28.152,104.864,3.3km,M0.6
28.152,104.865,3.358,2017,03,19,1.1687,2017-03-19,53,28.152,104.865,3.4km,M1.2
28.151,104.865,3.352,2017,03,19,0.1063,2017-03-19,54,28.151,104.865,3.4km,M0.1
28.152,104.865,3.354,2017,03,19,0.4056,2017-03-19,55,28.152,104.865,3.4km,M0.4
28.152,104.864,3.29,2017,03,20,0.9465,2017-03-20,56,28.152,104.864,3.3km,M0.9
28.153,104.866,3.395,2017,03,20,0.7119,2017-03-20,57,28.153,104.866,3.4km,M0.7
28.15,104.864,3.405,2017,03,20,0.4838,2017-03-20,58,28.15,104.864,3.4km,M0.5
28.151,104.865,3.388,2017,03,20,0.9969,2017-03-20,59,28.151,104.865,3.4km,M1.0
28.152,104.866,3.392,2017,03,20,1.4443,2017-03-20,60,28.152,104.866,3.4km,M1.4
28.152,104.865,3.317,2017,03,20,0.6009,2017-03-20,61,28.152,104.865,3.3km,M0.6
28.152,104.865,3.431,2017,03,20,0.8076,2017-03-20,62,28.152,104.865,3.4km,M0.8
28.152,104.865,3.342,2017,03,20,0.5529,2017-03-20,63,28.152,104.865,3.3km,M0.6
28.152,104.865,3.373,2017,03,20,0.7183,2017-03-20,64,28.152,104.865,3.4km,M0.7
28.152,104.866,3.393,2017,03,20,1.3014,2017-03-20,65,28.152,104.866,3.4km,M1.3
28.153,104.862,3.161,2017,03,20,0.4254,2017-03-20,66,28.153,104.862,3.2km,M0.4
28.153,104.862,3.169,2017,03,20,1.0075,2017-03-20,67,28.153,104.862,3.2km,M1.0
28.154,104.862,3.127,2017,03,20,0.4903,2017-03-20,68,28.154,104.862,3.1km,M0.5
28.153,104.862,3.167,2017,03,20,0.7409,2017-03-20,69,28.153,104.862,3.2km,M0.7
28.153,104.862,3.185,2017,03,20,0.8929,2017-03-20,70,28.153,104.862,3.2km,M0.9
28.153,104.864,3.303,2017,03,20,0.3954,2017-03-20,71,28.153,104.864,3.3km,M0.4
28.153,104.862,3.144,2017,03,20,0.6262,2017-03-20,72,28.153,104.862,3.1km,M0.6
28.154,104.862,3.185,2017,03,21,0.6879,2017-03-21,73,28.154,104.862,3.2km,M0.7
28.151,104.863,3.212,2017,03,21,0.5325,2017-03-21,74,28.151,104.863,3.2km,M0.5
28.152,104.865,3.349,2017,03,21,0.7955,2017-03-21,75,28.152,104.865,3.3km,M0.8
28.151,104.864,3.391,2017,03,21,0.5878,2017-03-21,76,28.151,104.864,3.4km,M0.6
28.151,104.865,3.531,2017,03,21,0.7382,2017-03-21,77,28.151,104.865,3.5km,M0.7
28.151,104.864,3.446,2017,03,21,0.4552,2017-03-21,78,28.151,104.864,3.4km,M0.5
28.151,104.866,3.35,2017,03,21,1.4754,2017-03-21,79,28.151,104.866,3.4km,M1.5
28.152,104.866,3.344,2017,03,21,0.5342,2017-03-21,80,28.152,104.866,3.3km,M0.5
28.152,104.866,3.331,2017,03,21,0.69,2017-03-21,81,28.152,104.866,3.3km,M0.7
28.152,104.866,3.434,2017,03,21,1.0534,2017-03-21,82,28.152,104.866,3.4km,M1.1
28.152,104.866,3.372,2017,03,21,1.5711,2017-03-21,83,28.152,104.866,3.4km,M1.6
28.152,104.866,3.664,2017,03,21,0.4102,2017-03-21,84,28.152,104.866,3.7km,M0.4
28.154,104.862,3.089,2017,03,21,0.2584,2017-03-21,85,28.154,104.862,3.1km,M0.3
28.153,104.863,3.131,2017,03,21,0.3908,2017-03-21,86,28.153,104.863,3.1km,M0.4
28.153,104.863,3.182,2017,03,21,0.1601,2017-03-21,87,28.153,104.863,3.2km,M0.2
28.152,104.865,3.449,2017,03,21,0.4093,2017-03-21,88,28.152,104.865,3.4km,M0.4
28.154,104.865,3.084,2017,03,21,0.692,2017-03-21,89,28.154,104.865,3.1km,M0.7
28.153,104.864,3.173,2017,03,22,0.9351,2017-03-22,90,28.153,104.864,3.2km,M0.9
28.152,104.865,3.472,2017,03,22,0.0333,2017-03-22,91,28.152,104.865,3.5km,M0.0
28.15,104.865,4.172,2017,03,23,0.3774,2017-03-23,92,28.15,104.865,4.2km,M0.4
28.151,104.865,3.457,2017,03,23,1.345,2017-03-23,93,28.151,104.865,3.5km,M1.3
28.152,104.864,3.349,2017,03,23,0.6337,2017-03-23,94,28.152,104.864,3.3km,M0.6
28.151,104.865,3.61,2017,03,23,0.8555,2017-03-23,95,28.151,104.865,3.6km,M0.9
28.152,104.866,3.415,2017,03,23,0.4134,2017-03-23,96,28.152,104.866,3.4km,M0.4
28.151,104.866,3.449,2017,03,23,0.3026,2017-03-23,97,28.151,104.866,3.4km,M0.3
28.153,104.863,3.122,2017,03,23,0.5006,2017-03-23,98,28.153,104.863,3.1km,M0.5
28.153,104.862,3.225,2017,03,23,0.9971,2017-03-23,99,28.153,104.862,3.2km,M1.0
28.151,104.866,3.436,2017,03,23,0.1829,2017-03-23,100,28.151,104.866,3.4km,M0.2
28.152,104.866,3.495,2017,03,23,0.2345,2017-03-23,101,28.152,104.866,3.5km,M0.2
28.153,104.87,3.431,2017,03,24,0.4425,2017-03-24,102,28.153,104.87,3.4km,M0.4
28.153,104.862,3.098,2017,03,24,0.6901,2017-03-24,103,28.153,104.862,3.1km,M0.7
28.154,104.86,3.18,2017,03,24,0.5627,2017-03-24,104,28.154,104.86,3.2km,M0.6
28.155,104.86,3.216,2017,03,24,0.5646,2017-03-24,105,28.155,104.86,3.2km,M0.6
28.155,104.861,3.249,2017,03,24,0.582,2017-03-24,106,28.155,104.861,3.2km,M0.6
28.154,104.861,3.441,2017,03,24,0.8671,2017-03-24,107,28.154,104.861,3.4km,M0.9
28.153,104.859,3.212,2017,03,24,0.5977,2017-03-24,108,28.153,104.859,3.2km,M0.6
28.154,104.86,3.217,2017,03,24,1.131,2017-03-24,109,28.154,104.86,3.2km,M1.1
28.154,104.858,3.132,2017,03,24,0.2843,2017-03-24,110,28.154,104.858,3.1km,M0.3
28.154,104.858,3.219,2017,03,24,0.5741,2017-03-24,111,28.154,104.858,3.2km,M0.6
28.154,104.859,3.272,2017,03,24,1.4328,2017-03-24,112,28.154,104.859,3.3km,M1.4
28.152,104.866,3.434,2017,03,24,0.6344,2017-03-24,113,28.152,104.866,3.4km,M0.6
28.154,104.859,3.307,2017,03,24,0.6305,2017-03-24,114,28.154,104.859,3.3km,M0.6
28.151,104.865,3.237,2017,03,24,0.4347,2017-03-24,115,28.151,104.865,3.2km,M0.4
28.152,104.866,3.187,2017,03,24,0.5664,2017-03-24,116,28.152,104.866,3.2km,M0.6
28.156,104.856,4.218,2017,03,25,0.575,2017-03-25,117,28.156,104.856,4.2km,M0.6
28.151,104.865,3.547,2017,03,25,0.337,2017-03-25,118,28.151,104.865,3.5km,M0.3
28.152,104.864,3.589,2017,03,25,0.3059,2017-03-25,119,28.152,104.864,3.6km,M0.3
28.155,104.859,3.397,2017,03,26,0.4268,2017-03-26,120,28.155,104.859,3.4km,M0.4
28.153,104.86,3.125,2017,03,26,1.3495,2017-03-26,121,28.153,104.86,3.1km,M1.3
28.153,104.869,3.453,2017,03,26,0.0398,2017-03-26,122,28.153,104.869,3.5km,M0.0
28.152,104.865,3.561,2017,03,26,0.5166,2017-03-26,123,28.152,104.865,3.6km,M0.5
28.152,104.864,3.313,2017,03,27,0.1199,2017-03-27,124,28.152,104.864,3.3km,M0.1
28.152,104.865,3.688,2017,03,27,0.3227,2017-03-27,125,28.152,104.865,3.7km,M0.3
28.152,104.866,3.495,2017,03,27,0.1526,2017-03-27,126,28.152,104.866,3.5km,M0.2
28.152,104.868,3.248,2017,03,29,0.3103,2017-03-29,127,28.152,104.868,3.2km,M0.3
28.154,104.868,3.261,2017,03,29,0.2075,2017-03-29,128,28.154,104.868,3.3km,M0.2
28.153,104.868,3.367,2017,03,29,0.5714,2017-03-29,129,28.153,104.868,3.4km,M0.6
28.154,104.868,3.258,2017,03,29,0.2711,2017-03-29,130,28.154,104.868,3.3km,M0.3
28.153,104.868,3.283,2017,03,29,0.2227,2017-03-29,131,28.153,104.868,3.3km,M0.2
28.153,104.866,3.421,2017,03,29,0.7609,2017-03-29,132,28.153,104.866,3.4km,M0.8
28.153,104.868,3.175,2017,03,29,1.2174,2017-03-29,133,28.153,104.868,3.2km,M1.2
28.153,104.867,3.439,2017,03,30,1.094,2017-03-30,134,28.153,104.867,3.4km,M1.1
28.153,104.868,3.262,2017,03,30,1.1042,2017-03-30,135,28.153,104.868,3.3km,M1.1
28.153,104.868,3.367,2017,03,30,0.3574,2017-03-30,136,28.153,104.868,3.4km,M0.4
28.153,104.868,3.344,2017,03,30,1.0393,2017-03-30,137,28.153,104.868,3.3km,M1.0
28.153,104.868,3.434,2017,03,30,0.9968,2017-03-30,138,28.153,104.868,3.4km,M1.0
28.153,104.868,3.303,2017,03,30,0.8703,2017-03-30,139,28.153,104.868,3.3km,M0.9
28.153,104.867,2.749,2017,03,31,0.6328,2017-03-31,140,28.153,104.867,2.7km,M0.6
28.153,104.866,3.511,2017,04,01,0.2224,2017-04-01,141,28.153,104.866,3.5km,M0.2
28.153,104.867,3.443,2017,04,01,0.4284,2017-04-01,142,28.153,104.867,3.4km,M0.4
28.153,104.866,3.532,2017,04,01,0.5936,2017-04-01,143,28.153,104.866,3.5km,M0.6
28.152,104.866,3.522,2017,04,01,0.1008,2017-04-01,144,28.152,104.866,3.5km,M0.1
28.152,104.866,3.497,2017,04,02,0.2832,2017-04-02,145,28.152,104.866,3.5km,M0.3
28.153,104.868,3.395,2017,04,03,0.928,2017-04-03,146,28.153,104.868,3.4km,M0.9
28.153,104.869,3.349,2017,04,03,1.5268,2017-04-03,147,28.153,104.869,3.3km,M1.5
28.153,104.866,3.305,2017,04,03,0.3353,2017-04-03,148,28.153,104.866,3.3km,M0.3
28.153,104.867,3.428,2017,04,03,0.6377,2017-04-03,149,28.153,104.867,3.4km,M0.6
28.153,104.867,3.466,2017,04,03,0.6374,2017-04-03,150,28.153,104.867,3.5km,M0.6
28.153,104.869,3.293,2017,04,03,0.4058,2017-04-03,151,28.153,104.869,3.3km,M0.4
28.149,104.859,4.348,2017,04,03,0.343,2017-04-03,152,28.149,104.859,4.3km,M0.3
28.153,104.868,3.314,2017,04,03,0.589,2017-04-03,153,28.153,104.868,3.3km,M0.6
28.153,104.868,3.732,2017,04,03,0.3904,2017-04-03,154,28.153,104.868,3.7km,M0.4
28.153,104.868,3.391,2017,04,03,0.6756,2017-04-03,155,28.153,104.868,3.4km,M0.7
28.154,104.867,3.314,2017,04,03,1.0043,2017-04-03,156,28.154,104.867,3.3km,M1.0
28.153,104.869,3.288,2017,04,03,0.7851,2017-04-03,157,28.153,104.869,3.3km,M0.8
28.154,104.868,3.505,2017,04,03,1.3231,2017-04-03,158,28.154,104.868,3.5km,M1.3
28.153,104.868,3.326,2017,04,03,0.5852,2017-04-03,159,28.153,104.868,3.3km,M0.6
28.153,104.869,3.33,2017,04,03,0.633,2017-04-03,160,28.153,104.869,3.3km,M0.6
28.153,104.867,3.36,2017,04,03,1.0275,2017-04-03,161,28.153,104.867,3.4km,M1.0
28.152,104.869,3.331,2017,04,03,1.0056,2017-04-03,162,28.152,104.869,3.3km,M1.0
28.154,104.868,3.445,2017,04,03,0.0897,2017-04-03,163,28.154,104.868,3.4km,M0.1
28.153,104.868,3.777,2017,04,04,0.5468,2017-04-04,164,28.153,104.868,3.8km,M0.5
28.157,104.865,3.389,2017,04,04,0.3636,2017-04-04,165,28.157,104.865,3.4km,M0.4
28.154,104.867,3.243,2017,04,05,1.2573,2017-04-05,166,28.154,104.867,3.2km,M1.3
28.155,104.868,2.895,2017,04,05,0.4494,2017-04-05,167,28.155,104.868,2.9km,M0.4
28.154,104.868,3.432,2017,04,05,0.997,2017-04-05,168,28.154,104.868,3.4km,M1.0
28.155,104.867,3.336,2017,04,05,0.362,2017-04-05,169,28.155,104.867,3.3km,M0.4
28.154,104.868,3.415,2017,04,05,1.222,2017-04-05,170,28.154,104.868,3.4km,M1.2
28.157,104.865,3.333,2017,04,06,0.9292,2017-04-06,171,28.157,104.865,3.3km,M0.9
28.154,104.869,3.487,2017,04,06,0.607,2017-04-06,172,28.154,104.869,3.5km,M0.6
28.154,104.868,3.38,2017,04,06,0.1742,2017-04-06,173,28.154,104.868,3.4km,M0.2
28.154,104.869,3.467,2017,04,06,0.7602,2017-04-06,174,28.154,104.869,3.5km,M0.8
28.154,104.87,3.356,2017,04,06,0.852,2017-04-06,175,28.154,104.87,3.4km,M0.9
28.157,104.865,3.405,2017,04,07,0.4574,2017-04-07,176,28.157,104.865,3.4km,M0.5
28.154,104.869,3.517,2017,04,07,1.1107,2017-04-07,177,28.154,104.869,3.5km,M1.1
28.154,104.869,3.505,2017,04,07,0.4321,2017-04-07,178,28.154,104.869,3.5km,M0.4
28.153,104.868,3.53,2017,04,08,0.4724,2017-04-08,179,28.153,104.868,3.5km,M0.5
28.155,104.869,3.364,2017,04,08,0.1807,2017-04-08,180,28.155,104.869,3.4km,M0.2
28.152,104.865,3.478,2017,04,08,0.059,2017-04-08,181,28.152,104.865,3.5km,M0.1
28.154,104.869,3.472,2017,04,08,0.5839,2017-04-08,182,28.154,104.869,3.5km,M0.6
28.154,104.869,3.278,2017,04,09,0.5352,2017-04-09,183,28.154,104.869,3.3km,M0.5
28.156,104.865,3.381,2017,04,09,0.8039,2017-04-09,184,28.156,104.865,3.4km,M0.8
28.154,104.87,3.399,2017,04,09,0.3234,2017-04-09,185,28.154,104.87,3.4km,M0.3
28.155,104.87,3.535,2017,04,09,0.6664,2017-04-09,186,28.155,104.87,3.5km,M0.7
28.158,104.864,2.957,2017,04,09,0.5012,2017-04-09,187,28.158,104.864,3.0km,M0.5
28.154,104.866,3.361,2017,04,09,0.5725,2017-04-09,188,28.154,104.866,3.4km,M0.6
28.155,104.867,3.115,2017,04,09,0.5939,2017-04-09,189,28.155,104.867,3.1km,M0.6
28.153,104.867,3.439,2017,04,09,0.3984,2017-04-09,190,28.153,104.867,3.4km,M0.4
28.154,104.869,3.449,2017,04,09,0.3883,2017-04-09,191,28.154,104.869,3.4km,M0.4
28.154,104.869,3.388,2017,04,10,0.4494,2017-04-10,192,28.154,104.869,3.4km,M0.4
28.154,104.869,3.522,2017,04,10,0.2386,2017-04-10,193,28.154,104.869,3.5km,M0.2
28.154,104.869,3.608,2017,04,11,0.6913,2017-04-11,194,28.154,104.869,3.6km,M0.7
28.153,104.868,3.456,2017,04,12,0.5135,2017-04-12,195,28.153,104.868,3.5km,M0.5
28.161,104.86,3.058,2017,04,14,0.823,2017-04-14,196,28.161,104.86,3.1km,M0.8
28.156,104.865,3.218,2017,04,14,0.2902,2017-04-14,197,28.156,104.865,3.2km,M0.3
28.153,104.871,2.666,2017,04,15,0.1816,2017-04-15,198,28.153,104.871,2.7km,M0.2
28.153,104.868,3.59,2017,04,15,1.0507,2017-04-15,199,28.153,104.868,3.6km,M1.1
28.162,104.863,2.855,2017,04,16,0.726,2017-04-16,200,28.162,104.863,2.9km,M0.7
28.162,104.859,3.48,2017,04,16,0.8853,2017-04-16,201,28.162,104.859,3.5km,M0.9
28.163,104.859,3.597,2017,04,16,0.7945,2017-04-16,202,28.163,104.859,3.6km,M0.8
28.16,104.858,3.526,2017,04,17,0.277,2017-04-17,203,28.16,104.858,3.5km,M0.3
28.161,104.86,3.321,2017,04,17,0.8581,2017-04-17,204,28.161,104.86,3.3km,M0.9
28.163,104.856,3.516,2017,04,18,1.2479,2017-04-18,205,28.163,104.856,3.5km,M1.2
28.163,104.858,3.634,2017,04,18,0.8383,2017-04-18,206,28.163,104.858,3.6km,M0.8
28.159,104.848,3.651,2017,04,18,0.1332,2017-04-18,207,28.159,104.848,3.7km,M0.1
28.164,104.854,3.438,2017,04,19,0.8345,2017-04-19,208,28.164,104.854,3.4km,M0.8
28.163,104.865,3.368,2017,04,19,0.5731,2017-04-19,209,28.163,104.865,3.4km,M0.6
28.162,104.861,3.332,2017,04,19,0.5424,2017-04-19,210,28.162,104.861,3.3km,M0.5
28.162,104.859,3.379,2017,04,19,0.5243,2017-04-19,211,28.162,104.859,3.4km,M0.5
28.163,104.861,3.37,2017,04,20,1.2743,2017-04-20,212,28.163,104.861,3.4km,M1.3
28.163,104.859,3.565,2017,04,20,1.6896,2017-04-20,213,28.163,104.859,3.6km,M1.7
28.163,104.859,3.359,2017,04,20,0.8779,2017-04-20,214,28.163,104.859,3.4km,M0.9
28.162,104.858,3.377,2017,04,20,0.9097,2017-04-20,215,28.162,104.858,3.4km,M0.9
28.163,104.861,2.822,2017,04,20,1.115,2017-04-20,216,28.163,104.861,2.8km,M1.1
28.162,104.862,3.535,2017,04,20,2.004,2017-04-20,217,28.162,104.862,3.5km,M2.0
28.162,104.858,3.384,2017,04,20,0.5901,2017-04-20,218,28.162,104.858,3.4km,M0.6
28.168,104.87,3.849,2017,04,21,0.2409,2017-04-21,219,28.168,104.87,3.8km,M0.2
28.164,104.86,3.417,2017,04,21,1.4265,2017-04-21,220,28.164,104.86,3.4km,M1.4
28.162,104.86,3.257,2017,04,21,0.6382,2017-04-21,221,28.162,104.86,3.3km,M0.6
28.162,104.861,3.34,2017,04,21,0.4437,2017-04-21,222,28.162,104.861,3.3km,M0.4
28.162,104.862,2.782,2017,04,21,0.4842,2017-04-21,223,28.162,104.862,2.8km,M0.5
28.163,104.863,3.432,2017,04,21,0.6118,2017-04-21,224,28.163,104.863,3.4km,M0.6
28.162,104.859,3.528,2017,04,21,1.3541,2017-04-21,225,28.162,104.859,3.5km,M1.4
28.162,104.86,3.412,2017,04,22,1.122,2017-04-22,226,28.162,104.86,3.4km,M1.1
28.163,104.861,3.295,2017,04,22,0.3979,2017-04-22,227,28.163,104.861,3.3km,M0.4
28.164,104.858,3.12,2017,04,23,0.5891,2017-04-23,228,28.164,104.858,3.1km,M0.6
28.165,104.86,3.372,2017,04,23,0.1905,2017-04-23,229,28.165,104.86,3.4km,M0.2
28.165,104.857,3.405,2017,04,23,0.2306,2017-04-23,230,28.165,104.857,3.4km,M0.2
28.163,104.858,3.167,2017,04,23,0.6035,2017-04-23,231,28.163,104.858,3.2km,M0.6
28.164,104.86,3.374,2017,04,23,0.9927,2017-04-23,232,28.164,104.86,3.4km,M1.0
28.164,104.858,3.744,2017,04,24,0.3219,2017-04-24,233,28.164,104.858,3.7km,M0.3
28.163,104.859,3.56,2017,04,24,0.9866,2017-04-24,234,28.163,104.859,3.6km,M1.0
28.163,104.858,3.446,2017,04,25,1.4097,2017-04-25,235,28.163,104.858,3.4km,M1.4
28.16,104.861,3.794,2017,04,25,0.7702,2017-04-25,236,28.16,104.861,3.8km,M0.8
28.17,104.873,5.619,2017,04,25,1.016,2017-04-25,237,28.17,104.873,5.6km,M1.0
28.161,104.864,3.037,2017,04,25,0.671,2017-04-25,238,28.161,104.864,3.0km,M0.7
28.167,104.856,4.59,2017,04,25,0.316,2017-04-25,239,28.167,104.856,4.6km,M0.3
28.183,104.873,2.215,2017,04,25,0.2271,2017-04-25,240,28.183,104.873,2.2km,M0.2
28.164,104.861,3.412,2017,04,25,0.4656,2017-04-25,241,28.164,104.861,3.4km,M0.5
28.162,104.854,4.104,2017,04,28,0.5344,2017-04-28,242,28.162,104.854,4.1km,M0.5
28.173,104.855,4.48,2017,04,30,0.3895,2017-04-30,243,28.173,104.855,4.5km,M0.4
28.174,104.859,4.786,2017,04,30,1.2813,2017-04-30,244,28.174,104.859,4.8km,M1.3
28.157,104.857,2.984,2017,05,02,0.6563,2017-05-02,245,28.157,104.857,3.0km,M0.7
28.163,104.862,3.533,2017,05,03,0.4635,2017-05-03,246,28.163,104.862,3.5km,M0.5
28.182,104.853,1.75,2017,05,05,0.977,2017-05-05,247,28.182,104.853,1.8km,M1.0
28.162,104.858,3.409,2017,05,05,0.8399,2017-05-05,248,28.162,104.858,3.4km,M0.8
28.164,104.861,3.406,2017,05,07,0.4652,2017-05-07,249,28.164,104.861,3.4km,M0.5
28.159,104.858,4.24,2017,05,07,0.2637,2017-05-07,250,28.159,104.858,4.2km,M0.3
28.171,104.865,2.823,2017,05,09,1.139,2017-05-09,251,28.171,104.865,2.8km,M1.1
28.185,104.854,2.035,2017,05,12,0.3748,2017-05-12,252,28.185,104.854,2.0km,M0.4
28.163,104.858,3.245,2017,05,12,0.4708,2017-05-12,253,28.163,104.858,3.2km,M0.5
28.161,104.86,3.737,2017,05,13,0.3906,2017-05-13,254,28.161,104.86,3.7km,M0.4
28.147,104.863,2.193,2017,05,17,0.5572,2017-05-17,255,28.147,104.863,2.2km,M0.6
28.178,104.874,2.95,2017,05,19,0.2992,2017-05-19,256,28.178,104.874,3.0km,M0.3
28.178,104.864,4.618,2017,05,19,0.3347,2017-05-19,257,28.178,104.864,4.6km,M0.3
28.176,104.871,4.45,2017,05,19,0.3022,2017-05-19,258,28.176,104.871,4.5km,M0.3
28.173,104.871,3.039,2017,06,16,1.6089,2017-06-16,259,28.173,104.871,3.0km,M1.6
28.167,104.864,4.137,2017,06,18,0.8929,2017-06-18,260,28.167,104.864,4.1km,M0.9
28.167,104.862,4.312,2017,06,18,0.4017,2017-06-18,261,28.167,104.862,4.3km,M0.4
28.171,104.867,3.196,2017,06,19,0.8962,2017-06-19,262,28.171,104.867,3.2km,M0.9
28.169,104.863,4.087,2017,06,19,0.1772,2017-06-19,263,28.169,104.863,4.1km,M0.2
28.167,104.862,4.465,2017,06,19,0.6732,2017-06-19,264,28.167,104.862,4.5km,M0.7
28.169,104.863,4.202,2017,06,20,0.0953,2017-06-20,265,28.169,104.863,4.2km,M0.1
28.174,104.865,4.795,2017,06,20,0.9069,2017-06-20,266,28.174,104.865,4.8km,M0.9
28.171,104.867,3.231,2017,06,21,0.9008,2017-06-21,267,28.171,104.867,3.2km,M0.9
28.17,104.867,3.188,2017,06,21,0.7003,2017-06-21,268,28.17,104.867,3.2km,M0.7
28.17,104.865,3.118,2017,06,21,0.5836,2017-06-21,269,28.17,104.865,3.1km,M0.6
28.179,104.857,2.003,2017,06,21,0.4003,2017-06-21,270,28.179,104.857,2.0km,M0.4
28.17,104.864,3.444,2017,06,22,0.7218,2017-06-22,271,28.17,104.864,3.4km,M0.7
28.17,104.866,3.4,2017,06,22,0.788,2017-06-22,272,28.17,104.866,3.4km,M0.8
