item_id,system,catalog,condition_type,qid,category,answer_chars,refusal,n_mag_values,mag_out_of_range,n_dates,dates_out_of_span,months_out_of_span,lat_out_of_box,lon_out_of_box,conflation_marker,any_out_of_catalog
graphrag_pre|qiaojia_only|B4,graphrag_pre,qiaojia,only,B4,B,681,none,0,,4,,,,,,False
graphrag_pre|qiaojia_only|B5,graphrag_pre,qiaojia,only,B5,B,594,none,2,,0,,,,,,False
graphrag_pre|qiaojia_only|B6,graphrag_pre,qiaojia,only,B6,B,732,none,0,,5,,,,,,False
graphrag_pre|qiaojia_only|B7,graphrag_pre,qiaojia,only,B7,B,497,none,2,10.4,0,,,,,,True
graphrag_pre|qiaojia_only|B8,graphrag_pre,qiaojia,only,B8,B,779,none,5,5,5,,,,,,True
graphrag_pre|qiaojia_only|B9,graphrag_pre,qiaojia,only,B9,B,828,none,5,,3,,,,,,False
graphrag_pre|qiaojia_only|B10,graphrag_pre,qiaojia,only,B10,B,347,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|B11,graphrag_pre,qiaojia,only,B11,B,75,full,0,,0,,,,,,False
graphrag_pre|qiaojia_only|B12,graphrag_pre,qiaojia,only,B12,B,691,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|B13,graphrag_pre,qiaojia,only,B13,B,615,none,0,,5,,,,,,False
graphrag_pre|qiaojia_only|B14,graphrag_pre,qiaojia,only,B14,B,75,full,0,,0,,,,,,False
graphrag_pre|qiaojia_only|B15,graphrag_pre,qiaojia,only,B15,B,733,none,2,,0,,,,,,False
graphrag_pre|qiaojia_only|B16,graphrag_pre,qiaojia,only,B16,B,790,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|B17,graphrag_pre,qiaojia,only,B17,B,864,none,0,,15,,,,,,False
graphrag_pre|qiaojia_only|B18,graphrag_pre,qiaojia,only,B18,B,643,none,0,,2,,,,,,False
graphrag_pre|qiaojia_only|B19,graphrag_pre,qiaojia,only,B19,B,901,partial,5,,2,,,,,,False
graphrag_pre|qiaojia_only|B20,graphrag_pre,qiaojia,only,B20,B,339,partial,0,,0,,,,,,False
graphrag_pre|qiaojia_only|C1,graphrag_pre,qiaojia,only,C1,C,1314,none,21,,1,,,,,,False
graphrag_pre|qiaojia_only|C2,graphrag_pre,qiaojia,only,C2,C,803,none,0,,2,,,,,,False
graphrag_pre|qiaojia_only|C3,graphrag_pre,qiaojia,only,C3,C,838,none,0,,3,,,,,,False
graphrag_pre|qiaojia_only|C4,graphrag_pre,qiaojia,only,C4,C,542,none,2,,4,,,,,,False
graphrag_pre|qiaojia_only|C5,graphrag_pre,qiaojia,only,C5,C,745,none,5,,1,,,,,,False
graphrag_pre|qiaojia_only|C6,graphrag_pre,qiaojia,only,C6,C,831,none,13,,4,,,,,,False
graphrag_pre|qiaojia_only|C7,graphrag_pre,qiaojia,only,C7,C,876,none,0,,2,,,,,,False
graphrag_pre|qiaojia_only|C8,graphrag_pre,qiaojia,only,C8,C,502,none,3,4.8;5;5.2,0,,,,,,True
graphrag_pre|qiaojia_only|C9,graphrag_pre,qiaojia,only,C9,C,980,none,3,,2,,,,,,False
graphrag_pre|qiaojia_only|C10,graphrag_pre,qiaojia,only,C10,C,892,none,7,,3,,,,,,False
graphrag_pre|qiaojia_only|C11,graphrag_pre,qiaojia,only,C11,C,625,none,5,,1,,,,,,False
graphrag_pre|qiaojia_only|C12,graphrag_pre,qiaojia,only,C12,C,902,none,4,,2,,,,,,False
graphrag_pre|qiaojia_only|C13,graphrag_pre,qiaojia,only,C13,C,717,none,1,,1,,,,,,False
graphrag_pre|qiaojia_only|C14,graphrag_pre,qiaojia,only,C14,C,850,none,4,,2,,,,,,False
graphrag_pre|qiaojia_only|C15,graphrag_pre,qiaojia,only,C15,C,762,none,9,,2,,,,,,False
graphrag_pre|qiaojia_only|C16,graphrag_pre,qiaojia,only,C16,C,671,none,3,,2,,,,,,False
graphrag_pre|qiaojia_only|C17,graphrag_pre,qiaojia,only,C17,C,900,none,23,,8,,,,,,False
graphrag_pre|qiaojia_only|C18,graphrag_pre,qiaojia,only,C18,C,563,none,0,,1,,,,,,False
graphrag_pre|qiaojia_only|C19,graphrag_pre,qiaojia,only,C19,C,814,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|C20,graphrag_pre,qiaojia,only,C20,C,626,none,0,,3,,,,,,False
graphrag_pre|qiaojia_only|D1,graphrag_pre,qiaojia,only,D1,D,1018,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|D2,graphrag_pre,qiaojia,only,D2,D,885,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|D3,graphrag_pre,qiaojia,only,D3,D,75,full,0,,0,,,,,,False
graphrag_pre|qiaojia_only|D4,graphrag_pre,qiaojia,only,D4,D,963,none,1,,4,,,,,,False
graphrag_pre|qiaojia_only|D5,graphrag_pre,qiaojia,only,D5,D,960,none,1,,1,,,,,,False
graphrag_pre|qiaojia_only|D6,graphrag_pre,qiaojia,only,D6,D,984,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|D7,graphrag_pre,qiaojia,only,D7,D,1166,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|D8,graphrag_pre,qiaojia,only,D8,D,1035,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|D9,graphrag_pre,qiaojia,only,D9,D,956,none,6,,0,,,,,,False
graphrag_pre|qiaojia_only|D10,graphrag_pre,qiaojia,only,D10,D,909,none,3,,2,,,,,,False
graphrag_pre|qiaojia_only|D11,graphrag_pre,qiaojia,only,D11,D,1124,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|D12,graphrag_pre,qiaojia,only,D12,D,788,none,3,,0,,,,,,False
graphrag_pre|qiaojia_only|D13,graphrag_pre,qiaojia,only,D13,D,984,none,1,,4,,,,,,False
graphrag_pre|qiaojia_only|D14,graphrag_pre,qiaojia,only,D14,D,965,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|D15,graphrag_pre,qiaojia,only,D15,D,1098,none,3,,0,,,,,,False
graphrag_pre|qiaojia_only|D16,graphrag_pre,qiaojia,only,D16,D,75,full,0,,0,,,,,,False
graphrag_pre|qiaojia_only|D17,graphrag_pre,qiaojia,only,D17,D,966,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|D18,graphrag_pre,qiaojia,only,D18,D,971,none,2,,0,,,,,,False
graphrag_pre|qiaojia_only|D19,graphrag_pre,qiaojia,only,D19,D,1113,none,2,,0,,,,,,False
graphrag_pre|qiaojia_only|D20,graphrag_pre,qiaojia,only,D20,D,1170,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|E1,graphrag_pre,qiaojia,only,E1,E,882,none,8,,0,,,,,,False
graphrag_pre|qiaojia_only|E2,graphrag_pre,qiaojia,only,E2,E,954,none,1,,0,,,,,,False
graphrag_pre|qiaojia_only|E3,graphrag_pre,qiaojia,only,E3,E,837,none,1,,4,,,,,,False
graphrag_pre|qiaojia_only|E4,graphrag_pre,qiaojia,only,E4,E,952,none,2,,1,,,,,,False
graphrag_pre|qiaojia_only|E5,graphrag_pre,qiaojia,only,E5,E,991,none,7,,1,,,,,,False
graphrag_pre|qiaojia_only|E6,graphrag_pre,qiaojia,only,E6,E,1197,none,5,,0,,,,,,False
graphrag_pre|qiaojia_only|E7,graphrag_pre,qiaojia,only,E7,E,371,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|E8,graphrag_pre,qiaojia,only,E8,E,1041,none,1,,0,,,,,,False
graphrag_pre|qiaojia_only|E9,graphrag_pre,qiaojia,only,E9,E,767,none,0,,1,,,,,,False
graphrag_pre|qiaojia_only|E10,graphrag_pre,qiaojia,only,E10,E,1231,none,2,,2,,,,,,False
graphrag_pre|qiaojia_only|E11,graphrag_pre,qiaojia,only,E11,E,880,none,1,,3,,,,,,False
graphrag_pre|qiaojia_only|E12,graphrag_pre,qiaojia,only,E12,E,979,none,0,,1,,,,,,False
graphrag_pre|qiaojia_only|E13,graphrag_pre,qiaojia,only,E13,E,1066,none,1,,4,,,,,,False
graphrag_pre|qiaojia_only|E14,graphrag_pre,qiaojia,only,E14,E,1008,none,1,,0,,,,,,False
graphrag_pre|qiaojia_only|E15,graphrag_pre,qiaojia,only,E15,E,1004,none,0,,2,,,,,,False
graphrag_pre|qiaojia_only|E16,graphrag_pre,qiaojia,only,E16,E,1218,none,2,,5,,,,,,False
graphrag_pre|qiaojia_only|E17,graphrag_pre,qiaojia,only,E17,E,1066,none,1,,1,,,,,,False
graphrag_pre|qiaojia_only|E18,graphrag_pre,qiaojia,only,E18,E,1189,none,3,,2,,,,,,False
graphrag_pre|qiaojia_only|E19,graphrag_pre,qiaojia,only,E19,E,1101,none,1,,3,,,,,,False
graphrag_pre|qiaojia_only|E20,graphrag_pre,qiaojia,only,E20,E,1311,none,7,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A1,graphrag_pre,qiaojia,narrative,A1,A,1077,none,1,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A2,graphrag_pre,qiaojia,narrative,A2,A,623,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A3,graphrag_pre,qiaojia,narrative,A3,A,952,none,2,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A4,graphrag_pre,qiaojia,narrative,A4,A,793,none,1,,3,,,,,,False
graphrag_pre|qiaojia_narrative|A5,graphrag_pre,qiaojia,narrative,A5,A,1391,none,8,,2,,,,,,False
graphrag_pre|qiaojia_narrative|A6,graphrag_pre,qiaojia,narrative,A6,A,694,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A7,graphrag_pre,qiaojia,narrative,A7,A,952,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A8,graphrag_pre,qiaojia,narrative,A8,A,1040,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A9,graphrag_pre,qiaojia,narrative,A9,A,775,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A10,graphrag_pre,qiaojia,narrative,A10,A,889,none,0,,5,,,,,,False
graphrag_pre|qiaojia_narrative|A11,graphrag_pre,qiaojia,narrative,A11,A,944,none,3,,2,,,,,,False
graphrag_pre|qiaojia_narrative|A12,graphrag_pre,qiaojia,narrative,A12,A,709,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A13,graphrag_pre,qiaojia,narrative,A13,A,519,none,0,,4,,,,,,False
graphrag_pre|qiaojia_narrative|A14,graphrag_pre,qiaojia,narrative,A14,A,904,none,1,,1,,,,,,False
graphrag_pre|qiaojia_narrative|A15,graphrag_pre,qiaojia,narrative,A15,A,916,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|A16,graphrag_pre,qiaojia,narrative,A16,A,614,none,6,,9,,,,,,False
graphrag_pre|qiaojia_narrative|A17,graphrag_pre,qiaojia,narrative,A17,A,1108,none,1,,1,,,,,,False
graphrag_pre|qiaojia_narrative|A18,graphrag_pre,qiaojia,narrative,A18,A,1141,none,1,,8,,,,,,False
graphrag_pre|qiaojia_narrative|A19,graphrag_pre,qiaojia,narrative,A19,A,1028,none,0,,4,,,,,,False
graphrag_pre|qiaojia_narrative|A20,graphrag_pre,qiaojia,narrative,A20,A,999,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B1,graphrag_pre,qiaojia,narrative,B1,B,637,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B2,graphrag_pre,qiaojia,narrative,B2,B,719,partial,7,12.836,5,,,,,,True
graphrag_pre|qiaojia_narrative|B3,graphrag_pre,qiaojia,narrative,B3,B,529,none,5,12.836,4,,,,,,True
graphrag_pre|qiaojia_narrative|B4,graphrag_pre,qiaojia,narrative,B4,B,810,partial,0,,7,,,,,,False
graphrag_pre|qiaojia_narrative|B5,graphrag_pre,qiaojia,narrative,B5,B,180,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B6,graphrag_pre,qiaojia,narrative,B6,B,925,none,0,,8,,,,,,False
graphrag_pre|qiaojia_narrative|B7,graphrag_pre,qiaojia,narrative,B7,B,687,none,0,,9,,,,,,False
graphrag_pre|qiaojia_narrative|B8,graphrag_pre,qiaojia,narrative,B8,B,1839,none,5,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B9,graphrag_pre,qiaojia,narrative,B9,B,712,none,6,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B10,graphrag_pre,qiaojia,narrative,B10,B,356,none,3,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B11,graphrag_pre,qiaojia,narrative,B11,B,219,partial,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|B12,graphrag_pre,qiaojia,narrative,B12,B,865,none,1,12.836,0,,,,,,True
graphrag_pre|qiaojia_narrative|B13,graphrag_pre,qiaojia,narrative,B13,B,610,none,1,,5,,,,,,False
graphrag_pre|qiaojia_narrative|B14,graphrag_pre,qiaojia,narrative,B14,B,75,full,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B15,graphrag_pre,qiaojia,narrative,B15,B,960,none,2,,7,,,,,,False
graphrag_pre|qiaojia_narrative|B16,graphrag_pre,qiaojia,narrative,B16,B,750,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B17,graphrag_pre,qiaojia,narrative,B17,B,716,none,6,12.836,11,,,,,,True
graphrag_pre|qiaojia_narrative|B18,graphrag_pre,qiaojia,narrative,B18,B,804,none,1,,0,,,,,,False
graphrag_pre|qiaojia_narrative|B19,graphrag_pre,qiaojia,narrative,B19,B,977,partial,3,,1,,,,,,False
graphrag_pre|qiaojia_narrative|B20,graphrag_pre,qiaojia,narrative,B20,B,286,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|C1,graphrag_pre,qiaojia,narrative,C1,C,889,none,5,,1,,,,,,False
graphrag_pre|qiaojia_narrative|C2,graphrag_pre,qiaojia,narrative,C2,C,683,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|C3,graphrag_pre,qiaojia,narrative,C3,C,794,none,0,,2,,,,,,False
graphrag_pre|qiaojia_narrative|C4,graphrag_pre,qiaojia,narrative,C4,C,594,none,1,,4,,,,,,False
graphrag_pre|qiaojia_narrative|C5,graphrag_pre,qiaojia,narrative,C5,C,658,none,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|C6,graphrag_pre,qiaojia,narrative,C6,C,765,none,1,,3,,,,,,False
graphrag_pre|qiaojia_narrative|C7,graphrag_pre,qiaojia,narrative,C7,C,862,none,1,,2,,,,,,False
graphrag_pre|qiaojia_narrative|C8,graphrag_pre,qiaojia,narrative,C8,C,650,none,7,4.5;4.8;5;5.1;5.2,0,,,,,,True
graphrag_pre|qiaojia_narrative|C9,graphrag_pre,qiaojia,narrative,C9,C,1022,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|C10,graphrag_pre,qiaojia,narrative,C10,C,449,none,3,4.5;4.8;5,0,,,,,,True
graphrag_pre|qiaojia_narrative|C11,graphrag_pre,qiaojia,narrative,C11,C,824,none,1,,3,,,,,,False
graphrag_pre|qiaojia_narrative|C12,graphrag_pre,qiaojia,narrative,C12,C,936,none,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|C13,graphrag_pre,qiaojia,narrative,C13,C,724,none,3,,2,,,,,,False
graphrag_pre|qiaojia_narrative|C14,graphrag_pre,qiaojia,narrative,C14,C,495,none,4,5.5;5.6;6;6.1,0,,,,,,True
graphrag_pre|qiaojia_narrative|C15,graphrag_pre,qiaojia,narrative,C15,C,795,none,5,12.836,3,,,,,,True
graphrag_pre|qiaojia_narrative|C16,graphrag_pre,qiaojia,narrative,C16,C,705,none,1,,1,,,,,,False
graphrag_pre|qiaojia_narrative|C17,graphrag_pre,qiaojia,narrative,C17,C,544,none,10,4.6;4.7;4.8;4.9;5;5.1;5.2;5.3,10,2010-03-01;2010-04-15;2010-05-20;2010-06-10;2010-07-25;2010-08-30;2010-09-15;2010-10-05;2010-11-12;2010-12-20,,,,,True
graphrag_pre|qiaojia_narrative|C18,graphrag_pre,qiaojia,narrative,C18,C,753,partial,1,,1,,,,,,False
graphrag_pre|qiaojia_narrative|C19,graphrag_pre,qiaojia,narrative,C19,C,474,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|C20,graphrag_pre,qiaojia,narrative,C20,C,725,none,4,,1,,,,,,False
graphrag_pre|qiaojia_narrative|D1,graphrag_pre,qiaojia,narrative,D1,D,1182,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D2,graphrag_pre,qiaojia,narrative,D2,D,956,partial,1,,2,,,,,,False
graphrag_pre|qiaojia_narrative|D3,graphrag_pre,qiaojia,narrative,D3,D,522,partial,3,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D4,graphrag_pre,qiaojia,narrative,D4,D,862,none,0,,3,,,,,,False
graphrag_pre|qiaojia_narrative|D5,graphrag_pre,qiaojia,narrative,D5,D,825,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D6,graphrag_pre,qiaojia,narrative,D6,D,1052,none,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|D7,graphrag_pre,qiaojia,narrative,D7,D,1137,none,0,,2,,,,,,False
graphrag_pre|qiaojia_narrative|D8,graphrag_pre,qiaojia,narrative,D8,D,942,none,1,,2,,,,,,False
graphrag_pre|qiaojia_narrative|D9,graphrag_pre,qiaojia,narrative,D9,D,917,none,2,,2,,,,,,False
graphrag_pre|qiaojia_narrative|D10,graphrag_pre,qiaojia,narrative,D10,D,832,none,2,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D11,graphrag_pre,qiaojia,narrative,D11,D,1053,none,0,,2,,,,,,False
graphrag_pre|qiaojia_narrative|D12,graphrag_pre,qiaojia,narrative,D12,D,781,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D13,graphrag_pre,qiaojia,narrative,D13,D,1013,none,2,,3,,,,,,False
graphrag_pre|qiaojia_narrative|D14,graphrag_pre,qiaojia,narrative,D14,D,964,none,0,,2,,,,,,False
graphrag_pre|qiaojia_narrative|D15,graphrag_pre,qiaojia,narrative,D15,D,898,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D16,graphrag_pre,qiaojia,narrative,D16,D,75,full,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D17,graphrag_pre,qiaojia,narrative,D17,D,893,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D18,graphrag_pre,qiaojia,narrative,D18,D,858,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D19,graphrag_pre,qiaojia,narrative,D19,D,907,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|D20,graphrag_pre,qiaojia,narrative,D20,D,918,none,0,,0,,,,,,False
graphrag_pre|qiaojia_narrative|E1,graphrag_pre,qiaojia,narrative,E1,E,1106,none,1,,0,,,,,,False
graphrag_pre|qiaojia_narrative|E2,graphrag_pre,qiaojia,narrative,E2,E,1186,none,1,,2,,,,,,False
graphrag_pre|qiaojia_narrative|E3,graphrag_pre,qiaojia,narrative,E3,E,953,none,0,,6,,,,,,False
graphrag_pre|qiaojia_narrative|E4,graphrag_pre,qiaojia,narrative,E4,E,905,none,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|E5,graphrag_pre,qiaojia,narrative,E5,E,1117,none,5,,2,,,,,,False
graphrag_pre|qiaojia_narrative|E6,graphrag_pre,qiaojia,narrative,E6,E,1057,none,0,,2,,,,,,False
graphrag_pre|qiaojia_narrative|E7,graphrag_pre,qiaojia,narrative,E7,E,630,partial,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|E8,graphrag_pre,qiaojia,narrative,E8,E,975,none,0,,2,,,,,,False
graphrag_pre|qiaojia_narrative|E9,graphrag_pre,qiaojia,narrative,E9,E,847,none,0,,4,,,,,,False
graphrag_pre|qiaojia_narrative|E10,graphrag_pre,qiaojia,narrative,E10,E,1250,none,4,,3,,,,,,False
graphrag_pre|qiaojia_narrative|E11,graphrag_pre,qiaojia,narrative,E11,E,1112,none,0,,4,,,,,,False
graphrag_pre|qiaojia_narrative|E12,graphrag_pre,qiaojia,narrative,E12,E,906,none,0,,2,,,,,,False
graphrag_pre|qiaojia_narrative|E13,graphrag_pre,qiaojia,narrative,E13,E,1164,none,0,,5,,,,,,False
graphrag_pre|qiaojia_narrative|E14,graphrag_pre,qiaojia,narrative,E14,E,975,none,2,,0,,,,,,False
graphrag_pre|qiaojia_narrative|E15,graphrag_pre,qiaojia,narrative,E15,E,1164,none,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|E16,graphrag_pre,qiaojia,narrative,E16,E,1389,none,2,,7,,,,,,False
graphrag_pre|qiaojia_narrative|E17,graphrag_pre,qiaojia,narrative,E17,E,907,partial,2,,2,,,,,,False
graphrag_pre|qiaojia_narrative|E18,graphrag_pre,qiaojia,narrative,E18,E,1018,none,0,,1,,,,,,False
graphrag_pre|qiaojia_narrative|E19,graphrag_pre,qiaojia,narrative,E19,E,1009,none,0,,5,,,,,,False
graphrag_pre|qiaojia_narrative|E20,graphrag_pre,qiaojia,narrative,E20,E,1174,none,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|A1,graphrag_pre,ridgecrest,only,A1,A,1114,none,1,,1,,,,,,False
graphrag_pre|ridgecrest_only|A2,graphrag_pre,ridgecrest,only,A2,A,495,none,0,,2,,,,,,False
graphrag_pre|ridgecrest_only|A3,graphrag_pre,ridgecrest,only,A3,A,957,none,2,,0,,,,,,False
graphrag_pre|ridgecrest_only|A4,graphrag_pre,ridgecrest,only,A4,A,1117,none,1,,1,,,,,,False
graphrag_pre|ridgecrest_only|A5,graphrag_pre,ridgecrest,only,A5,A,1026,none,0,,4,,,,,,False
graphrag_pre|ridgecrest_only|A6,graphrag_pre,ridgecrest,only,A6,A,725,none,2,,0,,,,,,False
graphrag_pre|ridgecrest_only|A7,graphrag_pre,ridgecrest,only,A7,A,1066,none,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|A8,graphrag_pre,ridgecrest,only,A8,A,969,none,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|A9,graphrag_pre,ridgecrest,only,A9,A,739,none,1,,1,,,,,,False
graphrag_pre|ridgecrest_only|A10,graphrag_pre,ridgecrest,only,A10,A,684,none,4,,1,,,,,,False
graphrag_pre|ridgecrest_only|A11,graphrag_pre,ridgecrest,only,A11,A,1003,none,8,,2,,,,,,False
graphrag_pre|ridgecrest_only|A12,graphrag_pre,ridgecrest,only,A12,A,809,none,0,,1,,,,,,False
graphrag_pre|ridgecrest_only|A13,graphrag_pre,ridgecrest,only,A13,A,475,none,1,,2,,,,,,False
graphrag_pre|ridgecrest_only|A14,graphrag_pre,ridgecrest,only,A14,A,798,none,0,,1,,,,,,False
graphrag_pre|ridgecrest_only|A15,graphrag_pre,ridgecrest,only,A15,A,850,partial,1,,1,,,,35.716,,True
graphrag_pre|ridgecrest_only|A16,graphrag_pre,ridgecrest,only,A16,A,678,none,7,,1,,,,,,False
graphrag_pre|ridgecrest_only|A17,graphrag_pre,ridgecrest,only,A17,A,75,full,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|A18,graphrag_pre,ridgecrest,only,A18,A,951,none,0,,1,,,,,,False
graphrag_pre|ridgecrest_only|A19,graphrag_pre,ridgecrest,only,A19,A,836,none,2,,1,,,,,,False
graphrag_pre|ridgecrest_only|A20,graphrag_pre,ridgecrest,only,A20,A,1005,none,1,,0,,,,,,False
graphrag_pre|ridgecrest_only|B1,graphrag_pre,ridgecrest,only,B1,B,711,partial,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|B2,graphrag_pre,ridgecrest,only,B2,B,410,none,1,9.34,2,,,,,,True
graphrag_pre|ridgecrest_only|B3,graphrag_pre,ridgecrest,only,B3,B,740,none,5,,2,,,,,,False
graphrag_pre|ridgecrest_only|B4,graphrag_pre,ridgecrest,only,B4,B,734,none,1,,3,,,,,,False
graphrag_pre|ridgecrest_only|B5,graphrag_pre,ridgecrest,only,B5,B,594,none,14,,0,,,,,,False
graphrag_pre|ridgecrest_only|B6,graphrag_pre,ridgecrest,only,B6,B,839,none,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|B7,graphrag_pre,ridgecrest,only,B7,B,495,none,4,,1,,,,,,False
graphrag_pre|ridgecrest_only|B8,graphrag_pre,ridgecrest,only,B8,B,872,none,5,,3,,,,,M7.1 mainshock misdated to 2019-07-05 (true: 2019-07-06 UTC),True
graphrag_pre|ridgecrest_only|B9,graphrag_pre,ridgecrest,only,B9,B,656,partial,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|B10,graphrag_pre,ridgecrest,only,B10,B,385,partial,8,,0,,,,,,False
graphrag_pre|ridgecrest_only|B11,graphrag_pre,ridgecrest,only,B11,B,75,full,0,,0,,,,,,False
graphrag_pre|ridgecrest_only|B12,graphrag_pre,ridgecrest,only,B12,B,698,none,0,,0,,,,,,False
