index,title,description
"Ridgecrest +narrative, stage 2",[field confusion] EVENT 2019-07-06T04:00:36.150,"entity magnitude 2.0 vs catalog 2.91: An earthquake occurred on July 6, 2019, at 04:00:36.150, located at latitude 35.948775 and longitude -117.701530, with a"
"Ridgecrest +narrative, stage 2",[field confusion] EVENT 2019-07-07T03:20:46.730,"entity magnitude 2.0 vs catalog 2.78: An earthquake occurred on July 7, 2019, at 03:20:46.730, located at latitude 35.889563 and longitude -117.693254, with a"
"Maduo catalog-only, stage 2",EVENT 2021-06-04T15:25:41.30,"An earthquake occurred on 2021-06-04 at 15:25:41.30, at latitude 41.3, longitude 0.9, depth 12.4 km, magnitude 0.9"
"Maduo catalog-only, stage 2",EVENT 2021-06-11T06:16:52.12,"An earthquake occurred on 2021-06-11 at 06:16:52.12, at latitude 34.974097, longitude 10.891, depth 10.9 km, magnitude 1.9"
"Maduo catalog-only, stage 2",EVENT 2021-06-14T07:28:14.21,"An earthquake occurred on 2021-06-14 at 07:28:14.21, at latitude 34.734, longitude 97.701, depth 3.8 km, magnitude 0.5"
"Maduo catalog-only, stage 2",EVENT 2021-06-23T08:31:39.610,"An earthquake occurred on 2021-06-23 at 08:31:39.610, at latitude 39.61, longitude 0.6, depth 9.5 km, magnitude 0.6"
"Maduo catalog-only, stage 2",EVENT 2021-07-07T06:59:41.97,"An earthquake occurred on 2021-07-07 at 06:59:41.97, at latitude 34.53785, longitude 98.770589, depth 11.433 km, magnitude 0.8"
"Maduo catalog-only, stage 2",EVENT 2021-07-10T03:31:39.880,"An earthquake occurred on 2021-07-10 at 03:31:39.880, at latitude 39.88, longitude 0.5, depth 8.1 km, magnitude 0.5"
"Maduo catalog-only, stage 2",[field confusion] EVENT 2021-06-03T08:16:33.410,"entity magnitude 1.0 vs catalog 1.60: An earthquake occurred on 2021-06-03 at 08:16:33.410, at latitude 34.499202, longitude 98.95883, depth 11.498 km, magnit"
"Maduo catalog-only, stage 2",[field confusion] EVENT 2021-06-03T08:32:12.270,"entity magnitude 1.0 vs catalog 1.80: An earthquake occurred on 2021-06-03 at 08:32:12.270, at latitude 34.449504, longitude 99.021785, depth 11.838 km, magni"
"Maduo catalog-only, stage 2",[field confusion] EVENT 2021-06-14T10:24:15.00,"entity magnitude 0.0 vs catalog 1.10: An earthquake occurred on 2021-06-14 at 10:24:15.00, at latitude 34.756734, longitude 97.725659, depth 12.394 km, magnit"
"Maduo catalog-only, stage 2",[field confusion] EVENT 2021-07-25T13:49:44.61,"entity magnitude 0.0 vs catalog 0.70: An earthquake occurred on 2021-07-25 at 13:49:44.61, at latitude 34.78682, longitude 97.513892, depth 12.961 km, magnitu"
"Maduo +narrative, stage 2",EVENT 2021-06-04T08:41:56.58,"An earthquake occurred on 2021-06-04 at 08:41:56.58, at latitude 98.542985, longitude 12.084, depth 12.1 km, magnitude 0.9"
"Maduo +narrative, stage 2",EVENT 2021-06-11T06:16:52.12,"An earthquake occurred on 2021-06-11 at 06:16:52.12, at latitude 34.974097, longitude 10.891, depth 10.9 km, magnitude 1.9"
"Maduo +narrative, stage 2",EVENT 2021-06-14T07:28:14.21,"An earthquake occurred on 2021-06-14 at 07:28:14.21, at latitude 34.734, longitude 97.701, depth 3.8 km, magnitude 0.5"
"Maduo +narrative, stage 2",EVENT 2021-06-23T08:31:39.610,"An earthquake occurred on 2021-06-23 at 08:31:39.610, at latitude 39.61, longitude 0.6, depth 9.5 km, magnitude 0.6"
"Maduo +narrative, stage 2",EVENT 2021-06-28T00:57:47.87,"The descriptions provided for the event ""EVENT 2021-06-28T00:57:47.87"" contain conflicting information regarding the geographical coordinates and depth of the e"
"Maduo +narrative, stage 2",EVENT 2021-07-07T06:59:00.00,"An earthquake occurred on 2021-07-07 at 06:59:00.00, at latitude 34.53785, longitude 98.770589, depth 11.433 km, magnitude 0.8"
"Maduo +narrative, stage 2",[field confusion] EVENT 2021-06-03T08:16:33.410,"entity magnitude 1.0 vs catalog 1.60: An earthquake occurred on 2021-06-03 at 08:16:33.410, at latitude 34.499202, longitude 98.95883, depth 11.498 km, magnit"
"Maduo +narrative, stage 2",[field confusion] EVENT 2021-06-03T08:32:12.270,"entity magnitude 1.0 vs catalog 1.80: An earthquake occurred on 2021-06-03 at 08:32:12.270, at latitude 34.449504, longitude 99.021785, depth 11.838 km, magni"
"Maduo +narrative, stage 2",[field confusion] EVENT 2021-07-25T13:49:44.61,"entity magnitude 0.0 vs catalog 0.70: An earthquake occurred on 2021-07-25 at 13:49:44.61, at latitude 34.78682, longitude 97.513892, depth 12.961 km, magnitu"
"Maduo +narrative, stage 2",[field confusion] EVENT 2021-08-10T22:35:56.96,"entity magnitude 4.0 vs catalog 4.70: An earthquake occurred on 2021-08-10 at 22:35:56.96, at latitude 34.635205, longitude 98.312663, depth 10.927 km, magnit"
