qid,category,equal,rule_graph,catalog_reference
B7,B,True,30 events with M>=3.0. Dates: 2022-08-29 M3.35; 2022-08-29 M3.36; 2022-09-02 M3.20; 2022-09-30 M3.19; 2022-10-14 M4.06; 2022-10-14 M3.90; 2022-10-15 M3.31; 2022-10-18 M4.18; 2022-11-03 M3.11; 2022-11-,30 events with M>=3.0. Dates: 2022-08-29 M3.35; 2022-08-29 M3.36; 2022-09-02 M3.20; 2022-09-30 M3.19; 2022-10-14 M4.06; 2022-10-14 M3.90; 2022-10-15 M3.31; 2022-10-18 M4.18; 2022-11-03 M3.11; 2022-11-
B8,B,True,"Five shallowest: 2022-11-11 14:52:47 M2.05 (26.857, 102.922) depth 0.2 km; 2022-10-06 20:43:34 M0.46 (27.193, 102.754) depth 0.2 km; 2022-12-09 10:03:58 M1.24 (27.032, 102.965) depth 0.3 km; 2023-01-0","Five shallowest: 2022-11-11 14:52:47 M2.05 (26.857, 102.922) depth 0.2 km; 2022-10-06 20:43:34 M0.46 (27.193, 102.754) depth 0.2 km; 2022-12-09 10:03:58 M1.24 (27.032, 102.965) depth 0.3 km; 2023-01-0"
B9,B,True,About 25.26 events per day (5218 events over 206.5 days).,About 25.26 events per day (5218 events over 206.5 days).
B10,B,True,523 events with 2.0<=M<=3.0 (523 with 2.0<=M<3.0).,523 events with 2.0<=M<=3.0 (523 with 2.0<=M<3.0).
B11,B,True,Mean depth 12.26 km (median 12.55 km).,Mean depth 12.26 km (median 12.55 km).
B12,B,True,Month with the highest maximum magnitude: 2022-10 (M4.18).,Month with the highest maximum magnitude: 2022-10 (M4.18).
B13,B,True,"Reference point taken as the largest event's epicenter. Five closest events: 2022-11-12 19:36:29 M1.38 (27.006, 102.885) depth 1.2 km [0.40 km]; 2022-11-01 15:30:03 M1.43 (27.001, 102.880) depth 1.4 k","Reference point taken as the largest event's epicenter. Five closest events: 2022-11-12 19:36:29 M1.38 (27.006, 102.885) depth 1.2 km [0.40 km]; 2022-11-01 15:30:03 M1.43 (27.001, 102.880) depth 1.4 k"
B14,B,True,Magnitude std 0.5; range M-0.91 to M4.18.,Magnitude std 0.5; range M-0.91 to M4.18.
B15,B,True,Top-10 magnitude events span 2022-10-14 to 2023-02-01.,Top-10 magnitude events span 2022-10-14 to 2023-02-01.
B16,B,True,"Depth-interval counts (km): {'0-5': 552, '5-10': 1177, '10-15': 2081, '15-20': 1038, '20-30': 325, '>30': 45}.","Depth-interval counts (km): {'0-5': 552, '5-10': 1177, '10-15': 2081, '15-20': 1038, '20-30': 325, '>30': 45}."
B17,B,True,Interval between largest (2022-10-18 22:12:35) and smallest (2022-11-09 14:36:26) magnitude events: 21.68 days.,Interval between largest (2022-10-18 22:12:35) and smallest (2022-11-09 14:36:26) magnitude events: 21.68 days.
B18,B,True,Busiest ISO week 2023-03-06/2023-03-12 with 730 events.,Busiest ISO week 2023-03-06/2023-03-12 with 730 events.
B19,B,True,"Pearson r = 0.067, Spearman rho = 0.042 between magnitude and depth (weak/negligible if |r|<0.1).","Pearson r = 0.067, Spearman rho = 0.042 between magnitude and depth (weak/negligible if |r|<0.1)."
B20,B,True,5218 events in total; 965 (18.5%) have M<1.0.,5218 events in total; 965 (18.5%) have M<1.0.
C1,C,True,"Busiest day 2023-03-08: 169 events, M0.32-M2.61, largest 2023-03-08 05:45:11 M2.61 (26.866, 102.951) depth 12.1 km.","Busiest day 2023-03-08: 169 events, M0.32-M2.61, largest 2023-03-08 05:45:11 M2.61 (26.866, 102.951) depth 12.1 km."
C2,C,True,"28 events with 3.0<=M<=4.0, dates 2022-08-29 to 2023-03-10.","28 events with 3.0<=M<=4.0, dates 2022-08-29 to 2023-03-10."
C5,C,True,Second most active day 2023-03-10 with 158 events.,Second most active day 2023-03-10 with 158 events.
C6,C,True,"27 events within 24 h after the largest event (2022-10-18 22:12:35); largest of them: 2022-10-19 01:54:32 M2.49 (26.891, 103.020) depth 25.1 km.","27 events within 24 h after the largest event (2022-10-18 22:12:35); largest of them: 2022-10-19 01:54:32 M2.49 (26.891, 103.020) depth 25.1 km."
C7,C,True,443 events within 5 km of the largest event's epicenter (largest-event epicenter used as 'the epicenter').,443 events within 5 km of the largest event's epicenter (largest-event epicenter used as 'the epicenter').
C8,C,True,2082 events with depth 10-15 km.,2082 events with depth 10-15 km.
C13,C,True,"27 events within 24 h after the largest event (2022-10-18 22:12:35); largest of them: 2022-10-19 01:54:32 M2.49 (26.891, 103.020) depth 25.1 km.","27 events within 24 h after the largest event (2022-10-18 22:12:35); largest of them: 2022-10-19 01:54:32 M2.49 (26.891, 103.020) depth 25.1 km."
C15,C,True,"Top 5 by magnitude: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km; 2022-10-14 19:56:35 M4.06 (27.029, 103.013) depth 8.7 km; 2022-10-14 20:03:09 M3.90 (26.952, 103.011) depth 5.1 km; 2023-0","Top 5 by magnitude: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km; 2022-10-14 19:56:35 M4.06 (27.029, 103.013) depth 8.7 km; 2022-10-14 20:03:09 M3.90 (26.952, 103.011) depth 5.1 km; 2023-0"
C17,C,True,"Ten earliest events: 2022-08-23 01:30:50 M1.38 (26.934, 102.874) depth 13.2 km; 2022-08-23 11:29:07 M1.41 (26.981, 102.819) depth 17.5 km; 2022-08-23 11:32:36 M0.84 (27.083, 102.679) depth 11.3 km; 20","Ten earliest events: 2022-08-23 01:30:50 M1.38 (26.934, 102.874) depth 13.2 km; 2022-08-23 11:29:07 M1.41 (26.981, 102.819) depth 17.5 km; 2022-08-23 11:32:36 M0.84 (27.083, 102.679) depth 11.3 km; 20"
E1,E,True,"First half (to 2022-12-04): 1732 events, mean M1.47, max M4.18. Second half: 3486 events, mean M1.37, max M3.74.","First half (to 2022-12-04): 1732 events, mean M1.47, max M4.18. Second half: 3486 events, mean M1.37, max M3.74."
E4,E,True,"First calendar month 2022-08: 53 events, mean M1.76, max M3.36. Last calendar month 2023-03: 894 events, mean M1.46, max M3.05. (First 30 days: 387; last 30 days: 1182.)","First calendar month 2022-08: 53 events, mean M1.76, max M3.36. Last calendar month 2023-03: 894 events, mean M1.46, max M3.05. (First 30 days: 387; last 30 days: 1182.)"
E7,E,True,Mean depth first half 12.13 km vs second half 12.33 km.,Mean depth first half 12.13 km vs second half 12.33 km.
E9,E,True,First 30 days: 387 events; last 30 days: 1182 events (compare rates).,First 30 days: 387 events; last 30 days: 1182 events (compare rates).
E12,E,True,"Largest event in first half: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km. Largest in second half: 2023-02-01 19:21:42 M3.74 (27.017, 102.844) depth 12.1 km.","Largest event in first half: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km. Largest in second half: 2023-02-01 19:21:42 M3.74 (27.017, 102.844) depth 12.1 km."
E15,E,True,"Yearly statistics: {'2022': {'n': 3067, 'mag_max': 4.18, 'mag_mean': np.float64(1.37), 'depth_mean': np.float64(12.35)}, '2023': {'n': 2151, 'mag_max': 3.74, 'mag_mean': np.float64(1.44), 'depth_mean'","Yearly statistics: {'2022': {'n': 3067, 'mag_max': 4.18, 'mag_mean': np.float64(1.37), 'depth_mean': np.float64(12.35)}, '2023': {'n': 2151, 'mag_max': 3.74, 'mag_mean': np.float64(1.44), 'depth_mean'"
E18,E,True,Median inter-event time first half 0.456 h vs second half 0.111 h (overall median 0.2 h).,Median inter-event time first half 0.456 h vs second half 0.111 h (overall median 0.2 h).
